,zip_codes,Estimate!!Total,25-44 Renters,%25-44 Renters,lat,lng,city,state_id,state_name,zcta,parent_zcta,population,density,county_fips,county_name,county_weights,county_names_all,county_fips_all,imprecise,military,timezone
198,78258,16079,2503,0.15566888488090055,29.6337,-98.49605,San Antonio,TX,Texas,True,,46418,987.2,48029,Bexar,{'48029':100},Bexar,48029,False,False,America/Chicago
78,34987,3361,523,0.15560844986611128,27.280959999999997,-80.50116,Port Saint Lucie,FL,Florida,True,,8660,23.1,12111,St. Lucie,{'12111':100},St. Lucie,12111,False,False,America/New_York
765,20194,5412,842,0.15558019216555802,38.980309999999996,-77.34298000000001,Reston,VA,Virginia,True,,12421,1612.6,51059,Fairfax,{'51059':100},Fairfax,51059,False,False,America/New_York
124,61761,19689,3062,0.15551830971608513,40.52955,-88.95859,Normal,IL,Illinois,True,,55222,480.6,17113,McLean,{'17113':100},McLean,17113,False,False,America/Chicago
829,55113,17869,2777,0.15540880855112205,45.013000000000005,-93.15553,Saint Paul,MN,Minnesota,True,,41608,1009.1,27123,Ramsey,{'27123':100},Ramsey,27123,False,False,America/Chicago
654,83340,2098,326,0.1553860819828408,43.771840000000005,-114.58323,Ketchum,ID,Idaho,True,,4826,3.3,16013,Blaine,{'16013':100},Blaine,16013,False,False,America/Boise
496,68649,811,126,0.15536374845869297,41.50914,-96.78773000000001,North Bend,NE,Nebraska,True,,2069,6.8,31053,Dodge,{'31053':100},Dodge,31053,False,False,America/Chicago
230,66030,8030,1246,0.1551681195516812,38.81498,-94.94124000000001,Gardner,KS,Kansas,True,,23546,170.8,20091,Johnson,{'20091':100},Johnson,20091,False,False,America/Chicago
747,20147,22097,3425,0.15499841607458026,39.04152,-77.47953000000001,Ashburn,VA,Virginia,True,,64197,1049.9,51107,Loudoun,{'51107':100},Loudoun,51107,False,False,America/New_York
37,14425,4943,765,0.15476431317013958,42.99155,-77.33801,Farmington,NY,New York,True,,11848,221.5,36069,Ontario,{'36069':100},Ontario,36069,False,False,America/New_York
461,46038,16585,2565,0.15465782333433825,39.96739,-86.0168,Fishers,IN,Indiana,True,,42524,921.8,18057,Hamilton,{'18057':100},Hamilton,18057,False,False,America/Indiana/Indianapolis
101,20714,2032,314,0.1545275590551181,38.72222,-76.54613,North Beach,MD,Maryland,True,,4622,719.1,24009,Calvert,"{'24003':20.83,'24009':79.17}",Calvert|Anne Arundel,24009|24003,False,False,America/New_York
263,96789,17637,2725,0.15450473436525486,21.478289999999998,-157.97471000000002,Mililani,HI,Hawaii,True,,53734,766.1,15003,Honolulu,{'15003':100},Honolulu,15003,False,False,Pacific/Honolulu
104,14586,4322,667,0.15432670060157336,43.04181,-77.68688,West Henrietta,NY,New York,True,,11897,355.1,36055,Monroe,{'36055':100},Monroe,36055,False,False,America/New_York
475,46057,486,75,0.15432098765432098,40.336290000000005,-86.37735,Michigantown,IN,Indiana,True,,1251,18.3,18023,Clinton,{'18023':100},Clinton,18023,False,False,America/Indiana/Indianapolis
247,12803,3651,562,0.15393043001917284,43.28938,-73.62995,South Glens Falls,NY,New York,True,,8525,493.6,36091,Saratoga,{'36091':100},Saratoga,36091,False,False,America/New_York
218,14802,351,54,0.15384615384615385,42.25326,-77.78926,Alfred,NY,New York,True,,4251,1534.8,36003,Allegany,{'36003':100},Allegany,36003,False,False,America/New_York
521,15437,917,141,0.15376226826608505,39.79063,-79.6085,Farmington,PA,Pennsylvania,True,,2734,14.2,42051,Fayette,{'42051':100},Fayette,42051,False,False,America/New_York
