,zip_codes,Estimate!!Total,Movers Total,%Movers,lat,lng,city,state_id,state_name,zcta,parent_zcta,population,density,county_fips,county_name,county_weights,county_names_all,county_fips_all,imprecise,military,timezone
116,28262,42767,13406,0.31346599013257886,35.32513,-80.74223,Charlotte,NC,North Carolina,True,,43046,669.1,37119,Mecklenburg,"{'37025':0.01,'37119':99.99}",Mecklenburg|Cabarrus,37119|37025,False,False,America/New_York
117,32832,24052,7535,0.31327956095127224,28.39793,-81.18697,Orlando,FL,Florida,True,,24325,94.7,12095,Orange,{'12095':100},Orange,12095,False,False,America/New_York
118,28532,21712,6756,0.3111643330876934,34.88813,-76.90890999999999,Havelock,NC,North Carolina,True,,22205,54.4,37049,Craven,{'37049':100},Craven,37049,False,False,America/New_York
119,2113,7517,2303,0.30637222296128774,42.36542,-71.0554,Boston,MA,Massachusetts,True,,7531,26621.1,25025,Suffolk,{'25025':100},Suffolk,25025,False,False,America/New_York
120,10003,54077,16502,0.3051574606579507,40.7318,-73.98911,New York,NY,New York,True,,54682,37524.3,36061,New York,{'36061':100},New York,36061,False,False,America/New_York
121,73145,3187,970,0.30436146846564166,35.41912,-97.3941,Oklahoma City,OK,Oklahoma,True,,3277,189.6,40109,Oklahoma,{'40109':100},Oklahoma,40109,False,False,America/Chicago
122,75287,53879,16315,0.3028081441749104,33.00032,-96.84111,Dallas,TX,Texas,True,,54882,3379.8,48121,Denton,"{'48085':47.25,'48113':0,'48121':52.75}",Denton|Collin|Dallas,48121|48085|48113,False,False,America/Chicago
123,66047,19761,5977,0.3024644501796468,38.88006,-95.34776,Lawrence,KS,Kansas,True,,19928,133.1,20045,Douglas,{'20045':100},Douglas,20045,False,False,America/Chicago
124,30346,4896,1473,0.3008578431372549,33.924279999999996,-84.33886,Atlanta,GA,Georgia,True,,4965,1801.5,13089,DeKalb,{'13089':100},DeKalb,13089,False,False,America/New_York
125,14850,64036,19231,0.3003154475607471,42.431020000000004,-76.49958000000001,Ithaca,NY,New York,True,,64484,195.8,36109,Tompkins,{'36109':100},Tompkins,36109,False,False,America/New_York
126,13616,2193,653,0.297765617875057,44.02608,-75.85861,Calcium,NY,New York,True,,2229,131.0,36045,Jefferson,{'36045':100},Jefferson,36045,False,False,America/New_York
127,66046,19302,5729,0.2968086208683038,38.90777,-95.21351999999999,Lawrence,KS,Kansas,True,,19456,183.9,20045,Douglas,{'20045':100},Douglas,20045,False,False,America/Chicago
128,54022,22857,6773,0.29632060200376253,44.84792,-92.60803,River Falls,WI,Wisconsin,True,,23061,61.5,55093,Pierce,"{'55093':72.17,'55109':27.83}",Pierce|St. Croix,55093|55109,False,False,America/Chicago
129,30326,6030,1779,0.29502487562189056,33.84943,-84.36386,Atlanta,GA,Georgia,True,,6030,2680.1,13121,Fulton,{'13121':100},Fulton,13121,False,False,America/New_York
130,23517,4350,1283,0.2949425287356322,36.8696,-76.29241,Norfolk,VA,Virginia,True,,4421,2168.7,51710,Norfolk,{'51710':100},Norfolk,51710,False,False,America/New_York
131,86001,45684,13426,0.293888451098853,35.28949,-111.63774,Flagstaff,AZ,Arizona,True,,46041,17.8,4005,Coconino,{'04005':100},Coconino,04005,False,False,America/Phoenix
132,76549,50383,14783,0.29341246055217035,31.013170000000002,-97.82996,Killeen,TX,Texas,True,,51767,223.8,48027,Bell,"{'48027':99.2,'48053':0.4,'48099':0.4}",Bell|Burnet|Coryell,48027|48053|48099,False,False,America/Chicago
133,82070,20176,5879,0.29138580491673277,41.20538,-105.83205,Laramie,WY,Wyoming,True,,20336,7.0,56001,Albany,{'56001':100},Albany,56001,False,False,America/Denver
